Date,Open,High,Low,Close,Volume
2025-08-05 16:00:00,195.48,197.82,194.64,195.07,2871555
2025-08-06 16:00:00,195.65,198.15,194.85,196.51,2143781
2025-08-07 16:00:00,197.7,198.1,189.77,191.14,3160135
2025-08-08 16:00:00,191.08,191.25,186.52,189.43,3191223
2025-08-11 16:00:00,189.13,192,185.95,186.44,2581798
2025-08-12 16:00:00,188.16,193.15,186.76,192.93,3397154
2025-08-13 16:00:00,195.61,200.83,192.85,200.49,4239265
2025-08-14 16:00:00,196.9,197.02,192.35,195.19,4102420
2025-08-15 16:00:00,200.78,201.14,196.4,198.46,4757473
2025-08-18 16:00:00,200.34,206.74,200.31,203.62,4864443
2025-08-19 16:00:00,204.7,205.89,196.52,197.66,4329130
2025-08-20 16:00:00,197.68,200.3,195.31,198.12,2863078
2025-08-21 16:00:00,196.91,198.48,195.2,198.18,2222686
2025-08-22 16:00:00,198.5,208.13,198.5,207.59,3808746
2025-08-25 16:00:00,206.7,208,202.37,202.44,2933069
2025-08-26 16:00:00,204.36,204.39,200.5,202.53,2501788
2025-08-27 16:00:00,203.8,207.67,203.5,205.57,3423147
2025-08-28 16:00:00,206.05,206.61,202.38,205.08,2831507
2025-08-29 16:00:00,204.62,205.8,200.71,202.2,3169722
2025-09-02 16:00:00,199.81,201.27,195.58,200.21,4433541
2025-09-03 16:00:00,201.3,203.01,197.61,198.53,4083863
2025-09-04 16:00:00,200.9,206.64,197.67,206.09,15476660
2025-09-05 16:00:00,165.14,176.18,163.98,167.8,36788892
2025-09-08 16:00:00,167.76,169.61,162.8,168.1,13919779
2025-09-09 16:00:00,167.83,169.15,164.38,165.69,8678895
2025-09-10 16:00:00,164.7,167.35,163.2,163.9,5785872
2025-09-11 16:00:00,163.96,168.59,163.34,165.78,6645333
2025-09-12 16:00:00,165.26,165.93,159.75,159.87,8061229
2025-09-15 16:00:00,160.73,162.17,159.25,159.98,5576119
2025-09-16 16:00:00,160,163.64,159.75,162.34,5090973
2025-09-17 16:00:00,162.34,165.69,162.22,163.48,4339919
2025-09-18 16:00:00,169.02,170.72,166.52,169.76,7097181
2025-09-19 16:00:00,169.7,170.9,167.53,169.62,7885914
2025-09-22 16:00:00,169.3,174.18,165.1,173.41,6349095
2025-09-23 16:00:00,172.22,176.17,171.58,173.33,6042550
